罗姑婆去参见《中国好声音》再老都没事你的歌很好听 1⁠1⁠-⁠3⁠0⁠
@一枕星河梦🐋 不错 1⁠1⁠-⁠3⁠0⁠
@太阳 1⁠1⁠-⁠3⁠0⁠
@憨憨的小可爱🥰 1⁠1⁠-⁠3⁠0⁠
@ʚ Xuuuu ɞ 1⁠1⁠-⁠3⁠0⁠
@i want2sink @眼里都是颖颖 1⁠1⁠-⁠3⁠0⁠
@啾啾言 太好笑了[捂脸][捂脸] 1⁠1⁠-⁠3⁠0⁠
牛[666][666][666][666] 1⁠1⁠-⁠3⁠0⁠
我以后再也不听这首歌了，我发誓 1⁠1⁠-⁠3⁠0⁠
那个D A M A不是papi酱说的嘛[看] 1⁠1⁠-⁠3⁠0⁠
吴亦凡：来我新说唱 1⁠1⁠-⁠3⁠0⁠
@雅俗共赏 1⁠1⁠-⁠3⁠0⁠
@雅俗共赏 1⁠1⁠-⁠3⁠0⁠
很压啊[捂脸] 1⁠1⁠-⁠3⁠0⁠
@叶先生💋 @秋雨先生 @麻烦先生 [捂脸] 1⁠1⁠-⁠3⁠0⁠
你要被吴亦凡挖去 1⁠1⁠-⁠3⁠0⁠
@有趣的小雯 @狡猾的兔子🐰 1⁠1⁠-⁠3⁠0⁠
@竹林里的火柴 1⁠1⁠-⁠3⁠0⁠
@🌞🌞 1⁠1⁠-⁠3⁠0⁠
差不多的大妈。看到你就开心惨了。哈哈哈 1⁠1⁠-⁠3⁠0⁠
啥 1⁠1⁠-⁠3⁠0⁠
@呼噜呼噜毛 1⁠1⁠-⁠3⁠0⁠
@没裤子穿了 1⁠1⁠-⁠3⁠0⁠
@王甜甜 1⁠1⁠-⁠3⁠0⁠
@陳 温 柔 1⁠1⁠-⁠3⁠0⁠
@椭月 哈哈哈哈哈 我看完了 1⁠1⁠-⁠3⁠0⁠
大妈，好潮 1⁠1⁠-⁠3⁠0⁠
@^ ^小雪 1⁠1⁠-⁠3⁠0⁠
@ 郭大亨 1⁠1⁠-⁠3⁠0⁠
你也是邓紫棋的粉丝吗 1⁠1⁠-⁠3⁠0⁠
@喋喋以喋以喋喋 1⁠1⁠-⁠3⁠0⁠
喜欢罗姑婆 1⁠1⁠-⁠3⁠0⁠
张震岳 1⁠1⁠-⁠3⁠0⁠
转发 • 呃 1⁠1⁠-⁠3⁠0⁠
真棒 1⁠1⁠-⁠3⁠0⁠
不知道我为啥身子在跟着抖动[捂脸] 1⁠1⁠-⁠3⁠0⁠
灵魂歌手[爱慕][爱慕] 1⁠1⁠-⁠3⁠0⁠
@7 哈哈哈哈哈 1⁠1⁠-⁠3⁠0⁠
@平平的猪猪婧ε= 跟你差不多[看][看] 1⁠1⁠-⁠3⁠0⁠
@Goldgold金 1⁠1⁠-⁠3⁠0⁠
@摘一颗星星 1⁠1⁠-⁠3⁠0⁠
