id, username, created_at, lng, lat, text
1222658056707665920, baby_rose98, Wed Jan 29 23:09:31 +0000 2020, -119.025163, 35.346902, A video I didn’t know I needed https://t.co/Z1r2H5fRwS 
1222658057001406466, BigDA11, Wed Jan 29 23:09:31 +0000 2020, -73.948775, 40.655138, “and he’s 6’3” 2 and change, cut up like good dope...” 🤣🤣🤣 #NowWePodding That was a great shot by @MAL___ https://t.co/fr2MYiawPS 
1222658056883970049, TCEpirates, Wed Jan 29 23:09:31 +0000 2020, -80.493949, 27.782875, Happy Literacy Week! Enjoy today’s book recommendation by one of our TCE Pirates! #FlCelebratesLiteracy ☠️❤️📚 https://t.co/RcYGnqWpvK 
1222658056841940993, anniebear1997, Wed Jan 29 23:09:31 +0000 2020, -123.819267, 46.976568, Mmmmehhhhh 🤟🏼 https://t.co/QIT550a2FR 
1222658057882275840, alexbergerphoto, Wed Jan 29 23:09:31 +0000 2020, -86.791549, 36.200008, I have been so inspired by @AndrewYang lately. To help with some conversations I’m in, can someone in the #yanggang… https://t.co/UGbgts5eAf 
1222658058188394496, silvertongue_98, Wed Jan 29 23:09:31 +0000 2020, -77.473399, 37.761581, still find it hilarious I convinced a large group. consisting of two bit drug dealers and hoes that I was a soldier… https://t.co/G4vcXDAYlE 
1222658058725122054, lawless59, Wed Jan 29 23:09:31 +0000 2020, -123.321857, 42.429316, @dowdy_cecil Done it since I was 18. Suck it up butter cup! 
1222658058704375809, barprephtx, Wed Jan 29 23:09:31 +0000 2020, -95.446486, 29.838495, Republicans are just stupid. I’m done playing around with “oh they just don’t have all the information.”No. No.… https://t.co/FNMYooDeDZ 
1222658059383820288, dessy_desss, Wed Jan 29 23:09:31 +0000 2020, -81.507501, 41.561982, Don’t get me wrong I might snap a lil bit but it’s never that serious to have that much control over my whole day✌🏽 
1222658059006287876, TJEMS232, Wed Jan 29 23:09:31 +0000 2020, -76.533790, 39.411702, Ms. Hafer’s awesome 2nd grade students are working together in independent small groups to identify key details in… https://t.co/hSX2vIEjEW 
1222658059648086016, JahmalKennedy, Wed Jan 29 23:09:31 +0000 2020, -86.244729, 32.364145, Ws in 13 of their last 14 and riding a current 4-game winning streak. @TroyTrojansWBB is ballin 
1222658059618672640, PandorasBoxxxx, Wed Jan 29 23:09:31 +0000 2020, -87.732013, 41.833585, @BaddieJalen https://t.co/pJCKJ6hzR5 
1222658059882856449, my3boyz74, Wed Jan 29 23:09:32 +0000 2020, -98.500000, 29.416700, Today was not his day! 🙏🏼 Thank you Jesus! Angels must have been watching over him cuz he walked out of the hospita… https://t.co/KruQC9ijN0 
1222658060025503746, Alex__Schiffer, Wed Jan 29 23:09:32 +0000 2020, -73.948775, 40.655138, Dzanan Musa walks into the arena wearing a Kobe Bryant No. 24 jersey. 
1222658060130422787, sssemester, Wed Jan 29 23:09:32 +0000 2020, -86.142922, 39.779562, (Porter County is where Valparaiso is, for those whose knowledge of Indiana geography is as shameful as my own.) 
1222658060361109510, lovefametragedy, Wed Jan 29 23:09:32 +0000 2020, -118.243000, 34.052200, When you’re album is finished, but you’re also fat now and going the gym, but only for a bit cos you have booked di… https://t.co/HbzXlcXTBr 
1222658060830662656, bythesea66, Wed Jan 29 23:09:32 +0000 2020, -116.966797, 32.765760, https://t.co/zJqOPb4ZZ7 
1222658061011079168, ayoskeng, Wed Jan 29 23:09:32 +0000 2020, -118.252320, 33.915714, need this 👀 
1222658060939866112, 469_ryan, Wed Jan 29 23:09:32 +0000 2020, -90.178629, 30.001244, ...”Nothing”... 
